term,entropy
개시 ##하,2.7954766238938924
비활성 ##화,2.795051625775687
밀 ##어 ##넣,2.7935393072824106
방향 ##이,2.7935075694159957
어 ##새신,2.793489810828895
초반 ##이,2.788373565854635
돌 ##격군,2.788182583010061
업 ##글,2.787967670850742
행복 ##이,2.7873309195170783
창 ##의,2.7869481963652167
극 ##딜,2.7857846155705634
장군 ##이,2.785700214371188
셀렉 ##트,2.782394510033999
이 ##에,2.7812711139056976
삼 ##척,2.7810370800861843
이상 ##이,2.7794416917155096
고백 ##하,2.778109379242826
퇴각 ##하,2.7780123936503074
사회 ##복지,2.777547250702794
집중 ##하,2.7770959752549933
풀 ##어 ##주,2.7767836048795878
재개 ##하,2.77485831376832
조사 ##하,2.77449950380201
올드 ##스쿨,2.774160838575225
유 ##튜버,2.7736586752745094
패 ##싱,2.773502868025991
탄핵 ##소추,2.7734096939436
네 ##크,2.7731408743827246
너 ##프,2.77205035115603
궁금 ##하,2.7719281595114347
침공 ##하,2.771554785551392
크 ##립,2.770371715911899
해 ##먹,2.7698730710481776
물 ##어 ##보,2.769701008992664
상의 ##하,2.7693314721685933
지방 ##이,2.7689014346007985
항복 ##하,2.7687338958779573
여 ##캠,2.7684343908807905
미숙 ##하,2.768383285196566
강림 ##하,2.768284224402438
돌입 ##하,2.7681059512608095
덕 ##이,2.7677288265945506
그 ##랩,2.767257187880295
저지 ##하,2.7671096845610474
대박 ##이,2.7670753232434615
도주 ##하,2.767058548763429
계속 ##하,2.766979621184856
결혼 ##하,2.7668350969833577
잡 ##아 ##보,2.766405937441872
마 ##족,2.7661066629084514
셋 ##팅,2.7660353825261295
극대 ##화,2.7622786905466783
구조 ##하,2.7609634800556977
생포 ##하,2.7608501133467858
잡 ##몹,2.759038242721819
일본 ##이,2.758637815440697
할 ##거,2.7583794601895075
봐 ##주,2.7567585247884394
공공 ##기관,2.7563418756222866
노예 ##화,2.756265087620254
부활 ##하,2.7558850921484312
스 ##이,2.7556956430983996
저격 ##소총,2.755141916584849
철수 ##하,2.7550780686343614
이동 ##하,2.754506395495495
메탈 ##슬러그,2.754220179607683
가입 ##하,2.7540431001610686
투항 ##하,2.753512512424452
길 ##이,2.751011252567534
사 ##먹,2.750188999410126
각개 ##격파,2.7498663909082484
거짓말 ##쟁이,2.7497135303853946
꽃 ##이,2.748722412407319
만나 ##보,2.7476718611750726
카 ##이,2.7472436860989866
아이돌 ##이,2.746103037578447
감사 ##하,2.7451343503563734
당 ##대표,2.7450336630183547
직원 ##이,2.744964170193915
들 ##어 ##주,2.7449074289639253
정벌 ##하,2.7441503526153372
소드 ##마스터,2.743635388273662
단순 ##화,2.7432134271831594
다행 ##이,2.742743053166915
당신 ##이,2.7415026192048466
